G_UUID,G_VALIDDATE,G_SEQ,ISLATEST,ISLATEST_PENDING,ISLATEST_APPROVED,G_CONTEXT,G_COMMUNITYID
CHILAWE CLASSROOM BLOCK,b2ad9722,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
CHILIPA CDSS GIRLS HOSTEL,5f0c07a5,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
CHIMWALIRE SCHOOL BLOCK,9ee9314b,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
CONSTRUCTION OF  STAFF HOUSE AT ST JOHNS PRIMARY SCHOOL,54882c81,April 2024 / March 2025,Southern Region,Blantyre,N/A,N/A,Education
Chilingani School Block Construction,7af76c15,April 2024 / March 2025,Southern Region,Blantyre,N/A,N/A,Education
Construction of  Mwanambweri Primary School Structures,e8493948,April 2024 / March 2025,Southern Region,Nsanje,N/A,N/A,Education
Construction of Gambula Primary School Fence,d628978f,April 2024 / March 2025,Southern Region,Mulanje,N/A,N/A,Education
Construction of Minyenje CDSS ,9011b8f9,April 2024 / March 2025,Southern Region,Phalombe,N/A,N/A,Education
Construction of Nyumba ya mmwamba Junior Primary School,57fbf3ab,April 2024 / March 2025,Southern Region,Thyolo,N/A,N/A,Education
Construction of Thetula CDSS Staff House,d98df228,April 2024 / March 2025,Southern Region,Mwanza,"117,568,824",N/A,Education
Gola CDSS Classroom Block Phase 2,7a1d1dcd,April 2024 / March 2025,Southern Region,Chikwawa,N/A,N/A,Education
MAKOLI SCHOOL STAFF HOUSE,e0ea4160,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
MPALE PRIMARY SCHOOL BLOCK,92ee6ed2,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
Mchengawedi TDC,a30930b3,April 2024 / March 2025,Southern Region,Zomba,N/A,N/A,Education
Mwambo Youth Center Phase 2,aa1c930d,April 2024 / March 2025,Southern Region,Zomba,N/A,N/A,Education
NTONDA CDSS STAFF HOUSE,086ba5ab,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
Namatapa School Block,bb53a9b0,April 2024 / March 2025,Southern Region,Phalombe,"40,562,552",Implementation: On track,Education
Nsenga Primary School teachers house,9ac00495,April 2024 / March 2025,Southern Region,Thyolo,N/A,N/A,Education
Nyakamba Teacher’s House ,e64584ad,April 2024 / March 2025,Southern Region,Chikwawa,N/A,N/A,Education
Phandadzinja Primary School Classroom block ,dbb211b1,April 2024 / March 2025,Southern Region,Chikwawa,N/A,N/A,Education
Rehabilitation of Mdulansanje Teacher’s house,a91a3928,April 2024 / March 2025,Southern Region,Chikwawa,N/A,N/A,Education
Test 27-9-24,81a1d62d,April 2024 / March 2025,Southern Region,Balaka,N/A,N/A,Education
Tomali Youth Centre,dd66d77d,April 2024 / March 2025,Southern Region,Chikwawa,N/A,N/A,Education
