PROJECTNAME,PROJECTCODE,FISCALYEAR,REGION,DISTRICT,TOTALBUDGET,PROJECTSTATUS,PROJECTSECTOR
 Nachuma Market Shed phase 3,a631987d,April 2024 / March 2025,Southern Region,Zomba,N/A,N/A,Commercial services
Boma Bus Depot and Market Toilets,683463fa,April 2024 / March 2025,Central Region,Mchinji,N/A,N/A,Water and sanitation
Boma Stadium Phase 3,4a97ec86,April 2024 / March 2025,Central Region,Mchinji,N/A,Approved,Education
Bua Girls Hostel (finishing),2f89a3ce,April 2024 / March 2025,Central Region,Mchinji,N/A,N/A,Education
CHILAWE CLASSROOM BLOCK,b2ad9722,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
CHILIPA CDSS GIRLS HOSTEL,5f0c07a5,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
CHIMWALIRE SCHOOL BLOCK,9ee9314b,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Education
CHINKOMBERO PHASE 2,3a031ade,April 2024 / March 2025,Central Region,Dedza,"MWK 246,000,000",N/A,Health
CHIPALAMAWAMBA HEALTH POST,8028e45d,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Health
CHIPHE VILLAGE RETICULATION WATER SYSTEM,9ad3ca01,April 2024 / March 2025,Central Region,Dedza,N/A,N/A,Water and sanitation
CHIPONDE PERIMETER FENCE PHASE 2,57ad8512,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Health
CHIUMBANGAME HEALTH CENTRE MATERNITY WING,ae0a0f63,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Health
CHIUNDA HEALTH CENTRE MATERNITY WING,8b16b1b3,April 2024 / March 2025,Southern Region,Mangochi,N/A,N/A,Health
CHOMA BRIDGE ,9cbf80c4,April 2024 / March 2025,Northern Region,Mzimba,N/A,N/A,Roads and bridges
CONSTRUCTION OF  STAFF HOUSE AT ST JOHNS PRIMARY SCHOOL,54882c81,April 2024 / March 2025,Southern Region,Blantyre,N/A,N/A,Education
CONSTRUCTION OF BOMA MARKET AND BUS DEPOT IMPROVEMENT PROJECTS,31146b8e,April 2024 / March 2025,Northern Region,Rumphi,N/A,N/A,Commercial services
CONSTRUCTION OF CHIRAMBO PRIMARY SCHOOL CLASSROOM BLOCK,d8e1cbaf,April 2024 / March 2025,Northern Region,Rumphi,"MWK 99,833,510",N/A,Education
CONSTRUCTION OF LIKOMA EXTENSION PLANNING AREA OFFICE,1d64f289,April 2024 / March 2025,Northern Region,Likoma,N/A,N/A,Agriculture and environment
CONSTRUCTION OF LIVINGSTONIA POLICE UNIT STAFF HOUSE,a0181e1b,April 2024 / March 2025,Northern Region,Rumphi,N/A,N/A,Community security initiatives
CONSTRUCTION OF MORTUARY AT BOLERO HEALTH CENTRE,862ceb8d,April 2024 / March 2025,Northern Region,Rumphi,N/A,N/A,Health
CONSTRUCTION OF MPHOMPHA HEALTH CENTRE MATERNITY WING,df4efec8,April 2024 / March 2025,Northern Region,Rumphi,"MWK 217,776,700",N/A,Health
CZ Hospital Paying Ward,276e1fc0,April 2024 / March 2025,Southern Region,Chiradzulu,N/A,N/A,Health
Chakhalila Primary school project,ad899d59,April 2024 / March 2025,Central Region,Mchinji,N/A,Approved,Education
Chamani Bridge,3d46fb33,April 2024 / March 2025,Central Region,Mchinji,N/A,N/A,Roads and bridges
Chanza HealthPost,53f17d89,April 2024 / March 2025,Southern Region,Chiradzulu,N/A,N/A,Health
Chigumula Stadium Completion,7439144c,April 2024 / March 2025,Central Region,Nkhotakota,N/A,N/A,Commercial services
Chilaweni Bridge,ee70302a,April 2024 / March 2025,Southern Region,Blantyre,N/A,N/A,Roads and bridges
Chilingani School Block Construction,7af76c15,April 2024 / March 2025,Southern Region,Blantyre,N/A,N/A,Education
Chimseu Police Unit Phase 2,95b9dde7,April 2024 / March 2025,Southern Region,Zomba,N/A,N/A,Community security initiatives
Chingale Maternity Wing Phase 2,6fe53d4d,April 2024 / March 2025,Southern Region,Zomba,N/A,N/A,Health
Completion of Kameme EPA Office Block and Furniture,29d00b37,April 2024 / March 2025,Northern Region,Chitipa,N/A,N/A,Agriculture and environment
Completion of Mpemba Market,d7f0ef0a,April 2024 / March 2025,Southern Region,Blantyre,N/A,N/A,Commercial services
Completion of Nyanjidu Water Reticulation,2bb57fa0,April 2024 / March 2025,Southern Region,Nsanje,N/A,N/A,Water and sanitation
Completion of Staff House,000ccd30,April 2024 / March 2025,Central Region,Dowa,N/A,N/A,Education
Completion of Thambani Police Staff House,1cd56107,April 2024 / March 2025,Southern Region,Mwanza,N/A,N/A,Community security initiatives
Construction of  Mwanambweri Primary School Structures,e8493948,April 2024 / March 2025,Southern Region,Nsanje,N/A,N/A,Education
Construction of 27 Culvert lines in all 9 Constituencies ,893f3061,April 2024 / March 2025,Southern Region,Mulanje,N/A,N/A,Roads and bridges
Construction of Chezi Market,62240ca2,April 2024 / March 2025,Central Region,Dowa,N/A,N/A,Commercial services
Construction of Chifukula Bridge ,a94c6796,April 2024 / March 2025,Central Region,Dowa,N/A,N/A,Roads and bridges
"Construction of Chikaka Primary School (1 School block, 2 teachers houses, 3 toilets, and 60 desks)",c6327645,April 2024 / March 2025,Central Region,Kasungu,N/A,N/A,Education
Construction of Chisinga Market,78d9d564,April 2024 / March 2025,Central Region,Kasungu,N/A,N/A,Commercial services
Construction of Classroom block at Katete Junior primary school in T/A Malili,257c9568,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of Community multipurpose hall at Mtunthumala HQ,ba9f759e,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Commercial services
Construction of Dowa Turn Off Market,2904f5d0,April 2024 / March 2025,Central Region,Dowa,N/A,N/A,Commercial services
Construction of Dunda Bridge ( 1 Concrete Bridge),c6522a94,April 2024 / March 2025,Central Region,Kasungu,N/A,N/A,Roads and bridges
Construction of Dwele Bridge,02212ffa,April 2024 / March 2025,Central Region,Dowa,N/A,N/A,Roads and bridges
Construction of Frontline  staff House (Phase 2),91e4abf1,April 2024 / March 2025,Central Region,Dowa,N/A,N/A,Commercial services
Construction of Gambula Primary School Fence,d628978f,April 2024 / March 2025,Southern Region,Mulanje,N/A,N/A,Education
